18:18:13.952 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.953 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.954 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.954 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.954 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.954 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.954 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.958 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.958 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.959 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.959 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.959 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.959 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.959 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.959 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.959 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.959 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.960 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.961 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.962 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.964 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.964 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.964 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.965 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.968 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.968 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.968 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.968 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.968 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.968 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.968 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.969 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.969 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.969 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.969 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.969 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.969 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.969 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.972 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.973 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.973 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.974 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.974 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.974 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.974 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.974 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.975 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.978 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.979 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.979 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.979 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.979 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.979 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.979 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
